rate,year
32.8,2002
32.05,2002
31.45,2002
32.55,2003
32.99,2003
33.99,2003
34.89,2003
36.39,2003
35.48,2003
34.4,2003
33.22,2003
33.11,2003
35.39,2003
34.36,2003
35.71,2003
36.79,2003
38.96,2004
40.15,2004
42.51,2004
41.25,2004
44.26,2005
47.49,2005
51.83,2006
49.67,2006
47.51,2007
47.48,2007
47.44,2007
49.61,2008
49.64,2008
55.07,2008
49.66,2008
44.24,2009
48.58,2009
51.59,2010
52.13,2010
55.92,2010
56.02,2010
56.31,2010
57.09,2010
57.44,2010
60.65,2010
61.93,2011
67.22,2011
67.5,2011
70.82,2011
72.73,2011
70.38,2011
69.55,2011
77.53,2012
75.4,2012
75.4,2012
72.27,2012
73.16,2012
72.19,2012
71.48,2012
71.77,2012
70.57,2012
70.58,2013
70.26,2013
72.17,2013
73.95,2013
71.41,2013
70.34,2013
69.08,2013
65.9,2013
66.85,2013
69.39,2013
71.71,2013
73.6,2013
74.49,2013
77.48,2013
79.55,2013
75.68,2013
74.22,2013
74.71,2013
75.71,2014
76.48,2014
75.49,2014
74.6,2014
74.71,2014
74.76,2014
76.93,2014
75.78,2014
73.47,2014
71.55,2014
70.87,2014
69.59,2014
67.01,2014
66.05,2014
63.94,2014
61.38,2015
58.88,2015
59.85,2015
63.31,2015
62.75,2015
61.9,2015
68.08,2015
69.45,2015
70.12,2015
69.84,2015
69.84,2015
67.29,2015
64.77,2015
63.49,2015
61.46,2015
61.02,2015
61.38,2015
60.8,2015
60.28,2015
59.77,2016
59.45,2016
59.42,2016
59.1,2016
56.08,2016
56.07,2016
59.13,2016
61.32,2016
60.58,2016
61.64,2016
62.47,2016
65.04,2016
65.15,2016
64.24,2016
61.92,2016
60.5,2016
59.5,2016
62.88,2016
63.64,2016
64.01,2016
64.12,2016
65.85,2016
67.02,2016
65.3,2016
65.47,2016
68.31,2016
69.96,2017
70.5,2017
74.28,2017
69.17,2017
71.04,2017
71.07,2017
68.17,2017
69.84,2017
68.07,2017
67.19,2017
67.04,2017
67.09,2017
66.93,2017
66.7,2017
66.03,2017
65.89,2017
65.94,2017
65.9,2017
65.78,2017
65.56,2017
65.46,2017
65.5,2017
65.58,2017
65.72,2017
66.29,2017
66.38,2017
66.43,2017
66.36,2017
66.34,2017
66.66,2017
66.67,2017
66.72,2017
66.77,2017
66.75,2017
67.06,2017
67.1,2017
67.06,2017
67.07,2017
67.18,2017
67.78,2017
67.76,2017
67.78,2017
68.34,2017
69.08,2017
69.13,2017
69.2,2017
69.35,2017
69.68,2017
70.44,2017
70.59,2017
70.7,2017
70.76,2017
71.06,2017
71.15,2017
71.26,2017
71.37,2017
71.64,2017
71.62,2017
71.67,2017
71.7,2017
71.78,2017
72.17,2017
72.25,2017
72.34,2017
72.44,2017
72.85,2017
72.95,2017
72.92,2017
72.97,2017
73.01,2017
73.07,2017
73.1,2017
73.07,2017
73.05,2017
72.96,2017
72.99,2017
72.96,2017
73.04,2017
73.15,2017
73.41,2017
70.85,2017
70.81,2017
70.83,2017
70.89,2017
70.93,2017
70.96,2017
70.89,2017
70.9,2017
70.72,2017
70.69,2017
70.73,2017
71.04,2017
71.1,2017
71.14,2017
71.54,2017
71.64,2017
71.65,2017
71.77,2017
71.86,2017
72.31,2017
72.35,2017
72.4,2017
72.48,2017
72.41,2017
72.27,2017
72.22,2017
72.19,2017
72.15,2017
72.12,2017
72.06,2017
72.01,2017
71.96,2017
71.94,2017
71.88,2017
71.78,2017
71.86,2017
71.76,2017
71.74,2017
71.85,2017
71.76,2017
71.75,2017
71.7,2017
71.71,2017
71.6,2017
71.58,2017
71.61,2017
71.79,2017
71.87,2017
71.95,2017
72.03,2017
72.25,2017
72.26,2017
72.36,2017
72.45,2017
72.61,2018
72.53,2018
72.61,2018
72.63,2018
73.08,2018
73.14,2018
73.21,2018
73.25,2018
73.32,2018
73.78,2018
73.87,2018
74,2018
74.18,2018
74.33,2018
74.88,2018
75.04,2018
75.09,2018
75.16,2018
75.53,2018
75.61,2018
75.75,2018
75.8,2018
76.02,2018
76.09,2018
76.08,2018
76.06,2018
75.71,2018
75.63,2018
75.47,2018
75.19,2018
74.56,2018
74.36,2018
74.35,2018
74.33,2018
74.23,2018
74.15,2018
74.13,2018
74.26,2018
74.45,2018
75.05,2018
75.13,2018
75.17,2018
75.19,2018
75.21,2018
75.19,2018
75.11,2018
74.92,2018
74.93,2018
74.99,2018
75.03,2018
75.55,2018
75.66,2018
75.85,2018
76.1,2018
76.62,2018
76.76,2018
76.79,2018
76.8,2018
76.79,2018
76.75,2018
76.71,2018
76.83,2018
76.88,2018
76.89,2018
77.34,2018
77.47,2018
77.65,2018
77.81,2018
77.97,2018
78.2,2018
77.65,2018
79.51,2018
79.83,2018
80.15,2018
80.46,2018
80.84,2018
80.99,2018
81.15,2018
81.3,2018
81.47,2018
81.39,2018
81.32,2018
81.23,2018
81.14,2018
80.98,2018
80.84,2018
80.72,2018
80.63,2018
80.41,2018
79.99,2018
79.74,2018
79.52,2018
79.37,2018
79.28,2018
79.2,2018
79.08,2018
78.94,2018
78.84,2018
78.69,2018
78.59,2018
78.44,2018
78.61,2018
78.76,2018
79.29,2018
79.47,2018
79.54,2018
79.71,2018
79.8,2018
79.63,2018
79.29,2018
79.22,2018
79.24,2018
79.31,2018
79.43,2018
79.51,2018
80,2018
80.09,2018
80.18,2018
80.23,2018
80.55,2018
80.64,2018
80.74,2018
74.74,2018
74.83,2018
80.99,2018
81.14,2018
81.28,2018
81.4,2018
81.63,2018
82.34,2018
82.51,2018
82.72,2018
83.22,2018
84,2018
84.15,2018
84.29,2018
84.58,2018
84.95,2018
85.24,2018
85.4,2018
85.51,2018
85.57,2018
85.68,2018
85.97,2018
86.08,2018
86.23,2018
86.38,2018
86.61,2018
86.89,2018
87.13,2018
87.24,2018
87.39,2018
84.76,2018
84.95,2018
85.09,2018
85.31,2018
85.56,2018
85.66,2018
85.79,2018
85.98,2018
86.04,2018
86.16,2018
85.94,2018
85.68,2018
85.27,2018
84.69,2018
84.59,2018
84.49,2018
84.34,2018
84.07,2018
82.91,2018
82.7,2018
82.51,2018
82.33,2018
81.7,2018
81.55,2018
80.65,2018
80.51,2018
80.35,2018
80.17,2018
79.55,2018
79.41,2018
78.98,2018
78.55,2018
77.42,2018
76.98,2018
76.45,2018
76.1,2018
75.71,2018
75.34,2018
75.01,2018
74.68,2018
74.46,2018
74.04,2018
73.62,2018
72.98,2018
72.81,2018
72.9,2018
73.15,2018
73.26,2018
73.08,2018
72.45,2018
72.38,2018
72.32,2018
72.12,2018
71.38,2018
71.27,2019
71.05,2019
71.11,2019
71.51,2019
71.71,2019
72.83,2019
73.04,2019
73.19,2019
73.27,2019
73.89,2019
74.03,2019
73.94,2019
73.84,2019
73.59,2019
73.06,2019
73,2019
72.94,2019
73.01,2019
73.08,2019
73.55,2019
73.66,2019
73.97,2019
74.26,2019
74.36,2019
74.43,2019
74.54,2019
74.92,2019
74.99,2019
75.23,2019
75.17,2019
75.25,2019
75.32,2019
75.56,2019
75.49,2019
75.54,2019
75.59,2019
75.65,2019
75.59,2019
75.67,2019
75.73,2019
75.66,2019
75.61,2019
75.67,2019
75.8,2019
75.75,2019
75.82,2019
75.77,2019
75.84,2019
75.91,2019
75.96,2019
75.89,2019
75.9,2019
75.84,2019
75.77,2019
75.6,2019
75.38,2019
74.87,2019
74.43,2019
74.11,2019
73.85,2019
73.77,2019
73.69,2019
73.79,2019
73.84,2019
73.92,2019
74.07,2019
74.22,2019
74.37,2019
74.47,2019
74.57,2019
74.5,2019
74.43,2019
74.39,2019
74.27,2019
74.05,2019
73.98,2019
73.81,2019
73.68,2019
73.14,2019
73.05,2019
72.88,2019
72.68,2019
72.61,2019
72.74,2019
72.81,2019
72.87,2019
72.98,2019
73.08,2019
73.18,2019
73.24,2019
75.81,2019
75.76,2019
75.85,2019
75.95,2019
76.08,2019
76.15,2019
76.23,2019
76.29,2019
76.23,2019
76.17,2019
76.11,2019
76.01,2019
75.85,2019
75.71,2019
75.65,2019
75.48,2019
75.41,2019
75.3,2019
75.14,2019
75.05,2019
75,2019
74.84,2019
74.74,2019
74.66,2019
74.59,2019
74.67,2019
74.74,2019
74.83,2019
74.83,2019
74.77,2019
74.74,2019
74.64,2019
74.55,2019
74.48,2019
74.54,2019
74.6,2019
74.67,2019
74.76,2019
74.82,2019
74.97,2019
75.23,2019
75.54,2019
75.9,2019
76.21,2019
76.49,2019
76.8,2019
77.03,2019
77.09,2019
77.25,2019
77.34,2019
77.56,2019
77.46,2019
77.27,2019
76.96,2019
76.67,2019
76.49,2019
76.44,2019
76.31,2019
76.21,2019
76.16,2019
76.15,2019
76.1,2019
76.05,2019
75.93,2019
75.85,2019
75.78,2019
75.78,2019
75.66,2019
75.58,2019
75.53,2019
75.44,2019
75.39,2019
75.49,2019
75.65,2019
75.86,2019
76.02,2019
76.12,2019
76.28,2019
76.47,2019
76.62,2019
76.74,2019
76.91,2019
77.07,2019
77.23,2019
77.32,2019
77.43,2019
77.56,2019
77.66,2019
77.71,2019
77.763,2019
77.89,2019
77.8,2019
77.89,2019
77.94,2019
77.95,2019
77.9,2019
77.84,2019
77.79,2019
77.68,2019
77.63,2019
77.58,2019
77.56,2019
77.62,2019
77.68,2019
77.83,2019
78,2019
78.1,2019
78.24,2020
78.34,2020
78.44,2020
78.54,2020
78.7,2020
78.85,2020
78.75,2020
78.83,2020
78.98,2020
79.04,2020
78.94,2020
78.82,2020
78.72,2020
78.55,2020
78.41,2020
78.25,2020
78.07,2020
77.95,2020
77.79,2020
77.79,2020
77.61,2020
77.39,2020
77.14,2020
76.84,2020
76.62,2020
76.5,2020
